num,time,side,lot,sym,o,c,pip,size,pips,
112807280,2022-08-01 02:03:03,DEPOSIT,0,19.6,,,,,,
112806546,2022-08-01 01:58:34,DEPOSIT,0,5.88,,,,,,
112803080,2022-07-30 10:47:36,DEPOSIT,0,0.02,,,,,,
112803077,2022-07-30 10:47:30,DEPOSIT,0,0.16,,,,,,
112803057,2022-07-30 10:47:03,DEPOSIT,0,0.01,,,,,,
112803043,2022-07-30 10:46:45,DEPOSIT,0,0.09,,,,,,
112803034,2022-07-30 10:46:38,DEPOSIT,0,0.04,,,,,,
112803022,2022-07-30 10:46:31,DEPOSIT,0,0.66,,,,,,
112803013,2022-07-30 10:46:07,DEPOSIT,0,0.16,,,,,,
112803005,2022-07-30 10:45:59,DEPOSIT,0,0.04,,,,,,
112802991,2022-07-30 10:45:47,DEPOSIT,0,0.09,,,,,,
112802985,2022-07-30 10:45:39,DEPOSIT,0,0.16,,,,,,
112802981,2022-07-30 10:45:24,DEPOSIT,0,0.33,,,,,,
112802980,2022-07-30 10:45:22,DEPOSIT,0,0.33,,,,,,
112802978,2022-07-30 10:45:20,DEPOSIT,0,0.33,,,,,,
112802976,2022-07-30 10:45:16,DEPOSIT,0,0.33,,,,,,
112802974,2022-07-30 10:45:13,DEPOSIT,0,0.33,,,,,,
112802973,2022-07-30 10:45:13,DEPOSIT,0,0.33,,,,,,
112802965,2022-07-30 10:45:01,DEPOSIT,0,0.15,,,,,,
112802962,2022-07-30 10:44:56,DEPOSIT,0,0.15,1 2 3 4 5 ... 107,,,,,
112802961,2022-07-30 10:44:56,DEPOSIT,0,0.16,,,,,,
112802959,2022-07-30 10:44:55,DEPOSIT,0,0.16,,,,,,
112802958,2022-07-30 10:44:54,DEPOSIT,0,0.16,,,,,,
112802957,2022-07-30 10:44:53,DEPOSIT,0,0.05,,,,,,
112802956,2022-07-30 10:44:52,DEPOSIT,0,0.16,,,,,,
112802953,2022-07-30 10:44:51,DEPOSIT,0,0.33,,,,,,
112802951,2022-07-30 10:44:49,DEPOSIT,0,0.33,,,,,,
112802949,2022-07-30 10:44:48,DEPOSIT,0,0.04,,,,,,
112802947,2022-07-30 10:44:46,DEPOSIT,0,0.33,,,,,,
112802945,2022-07-30 10:44:43,DEPOSIT,0,0.16,,,,,,
112802943,2022-07-30 10:44:42,DEPOSIT,0,0.16,,,,,,
112802941,2022-07-30 10:44:41,DEPOSIT,0,0.33,,,,,,
112802932,2022-07-30 10:44:23,DEPOSIT,0,0.01,,,,,,
112802922,2022-07-30 10:44:12,DEPOSIT,0,0.16,,,,,,
112802920,2022-07-30 10:44:11,DEPOSIT,0,0.16,,,,,,
112802914,2022-07-30 10:44:02,DEPOSIT,0,0.33,,,,,,
112802913,2022-07-30 10:43:57,DEPOSIT,0,0.15,,,,,,
112802910,2022-07-30 10:43:55,DEPOSIT,0,0.09,,,,,,
112802903,2022-07-30 10:43:43,DEPOSIT,0,0.01,,,,,,
112802899,2022-07-30 10:43:28,DEPOSIT,0,0.09,1 2 3 4 5 ... 107,,,,,
112802898,2022-07-30 10:43:28,DEPOSIT,0,0.07,,,,,,
112802895,2022-07-30 10:43:22,DEPOSIT,0,0.03,,,,,,
112802890,2022-07-30 10:42:56,DEPOSIT,0,0.23,,,,,,
112802880,2022-07-30 10:42:18,DEPOSIT,0,0.28,,,,,,
112802839,2022-07-30 10:41:08,DEPOSIT,0,0.09,,,,,,
112802831,2022-07-30 10:41:01,DEPOSIT,0,0.09,,,,,,
112802829,2022-07-30 10:40:59,DEPOSIT,0,0.16,,,,,,
112802825,2022-07-30 10:40:58,DEPOSIT,0,0.12,,,,,,
112802809,2022-07-30 10:40:47,DEPOSIT,0,0.14,,,,,,
112802804,2022-07-30 10:40:43,DEPOSIT,0,0.11,,,,,,
112802786,2022-07-30 10:40:28,DEPOSIT,0,0.04,,,,,,
112802785,2022-07-30 10:40:28,DEPOSIT,0,0.04,,,,,,
112802781,2022-07-30 10:40:26,DEPOSIT,0,0.05,,,,,,
112802775,2022-07-30 10:40:23,DEPOSIT,0,0.04,,,,,,
112802768,2022-07-30 10:40:19,DEPOSIT,0,0.17,,,,,,
112802767,2022-07-30 10:40:19,DEPOSIT,0,0.1,,,,,,
112802763,2022-07-30 10:40:16,DEPOSIT,0,0.05,,,,,,
112802757,2022-07-30 10:40:14,DEPOSIT,0,0.04,,,,,,
112802741,2022-07-30 10:40:09,DEPOSIT,0,0.04,,,,,,
112802737,2022-07-30 10:40:04,DEPOSIT,0,0.13,1 2 3 4 5 ... 107,,,,,
112802736,2022-07-30 10:40:04,DEPOSIT,0,0.02,,,,,,
112802732,2022-07-30 10:40:02,DEPOSIT,0,0.04,,,,,,
112802725,2022-07-30 10:39:51,DEPOSIT,0,0.05,,,,,,
112802712,2022-07-30 10:39:44,DEPOSIT,0,0.2,,,,,,
112802710,2022-07-30 10:39:44,DEPOSIT,0,0.12,,,,,,
112802702,2022-07-30 10:39:39,DEPOSIT,0,0.05,,,,,,
