num,time,side,lot,sym,o,c,pip,size,pips
114348317,2022-07-14 18:42:34,BUY,0.0022,EURUSD,0.99733,1.00336,0.13,1.32,0.13 pips
114293025,2022-07-14 12:29:53,BUY,0.0021,EURCAD,1.30174,1.31148,0.16,1.56,0.16 pips
114256797,2022-07-13 17:47:46,BUY,0.0021,EURCAD,1.30345,1.30881,0.09,0.86,0.09 pips
114134957,2022-07-14 12:50:36,BUY,0.0052,EURCAD,1.30645,1.31321,0.24,2.41,0.24 pips
114134841,2022-07-12 14:18:34,BUY,0.0021,EURCAD,1.30655,1.30949,0.04,0.45,0.04 pips
114131023,2022-07-14 12:57:31,BUY,0.0053,EURCAD,1.30736,1.31429,0.25,2.52,0.25 pips
114130638,2022-07-14 12:50:34,BUY,0.0021,EURCAD,1.30786,1.31345,0.08,0.79,0.08 pips
114130543,2022-07-13 15:29:43,BUY,0.001,EURCAD,1.30786,1.31057,0.02,0.19,0.02 pips
114127926,2022-07-12 17:00:00,BUY,0.0089,AUDCAD,0.87524,0.87991,0.31,3.14,0.31 pips
114127728,2022-07-12 18:00:00,BUY,0.0089,AUDCAD,0.87518,0.88031,0.35,3.46,0.35 pips
114127602,2022-07-12 14:19:20,BUY,0.0089,AUDCAD,0.87521,0.87762,0.16,1.6,0.16 pips
114123345,2022-07-12 18:45:01,BUY,0.0036,AUDCAD,0.87557,0.88058,0.14,1.36,0.14 pips
114123034,2022-07-12 14:45:01,BUY,0.0089,AUDCAD,0.8756,0.87824,0.18,1.76,0.18 pips
114112796,2022-07-12 16:00:00,BUY,0.0036,AUDCAD,0.87733,0.87926,0.05,0.52,0.05 pips
114112692,2022-07-12 15:15:01,BUY,0.0036,AUDCAD,0.87728,0.87862,0.04,0.35,0.04 pips
114109743,2022-07-12 17:00:01,BUY,0.0036,AUDCAD,0.87811,0.87987,0.05,0.47,0.05 pips
114109577,2022-07-12 18:00:01,BUY,0.0036,AUDCAD,0.87807,0.88036,0.06,0.62,0.06 pips
114108124,2022-07-12 14:45:01,BUY,0.0036,AUDCAD,0.87844,0.87822,-0.01,-0.07,-0.01 pips
114107905,2022-07-12 14:19:20,BUY,0.0036,AUDCAD,0.87844,0.87763,-0.02,-0.24,-0.02 pips
113743260,2022-07-04 10:24:22,BUY,0.0036,AUDNZD,1.09685,1.09902,0.05,0.47,0.05 pips
113716389,2022-07-04 10:15:00,BUY,0.0036,AUDCAD,0.87507,0.88123,0.17,1.64,0.17 pips
113716071,2022-07-04 10:00:01,BUY,0.0036,AUDCAD,0.87516,0.88063,0.15,1.45,0.15 pips
113715894,2022-07-04 08:15:02,BUY,0.0036,AUDCAD,0.87517,0.87914,0.11,1.05,0.11 pips
113715586,2022-07-04 12:45:01,BUY,0.0036,AUDNZD,1.09739,1.10036,0.06,0.62,0.06 pips
113715447,2022-07-04 13:00:01,BUY,0.0036,AUDNZD,1.09734,1.101,0.08,0.77,0.08 pips
113715109,2022-07-04 10:45:01,BUY,0.0036,AUDNZD,1.09725,1.09955,0.05,0.48,0.05 pips
113714858,2022-07-04 11:00:01,BUY,0.0036,AUDNZD,1.09729,1.10011,0.06,0.59,0.06 pips
113697529,2022-07-04 09:45:01,BUY,0.0036,AUDCAD,0.87679,0.88025,0.09,0.91,0.09 pips
113660181,2022-07-01 21:30:01,BUY,0.004,NZDCAD,0.79784,0.80131,0.11,1.03,0.11 pips
113641372,2022-07-01 00:31:21,DEPOSIT,0,0.01,,,,,
113641371,2022-07-01 00:31:20,DEPOSIT,0,0.03,,,,,
113572969,2022-06-30 10:15:01,SELL,0.0036,AUDNZD,1.10847,1.10662,0.04,0.4,0.04 pips
113567761,2022-06-30 11:15:00,SELL,0.0036,AUDNZD,1.10824,1.1056,0.06,0.57,0.06 pips
113521087,2022-06-30 05:28:03,BUY,0.0036,AUDCAD,0.88484,0.88893,0.11,1.05,0.11 pips
113514137,2022-06-30 05:27:03,BUY,0.0036,AUDCAD,0.88553,0.88844,0.08,0.74,0.08 pips
113488006,2022-06-30 10:34:55,BUY,0.004,NZDCAD,0.80357,0.80382,0.01,0.06,0.01 pips
113485459,2022-06-29 09:30:01,SELL,0.0036,AUDNZD,1.10709,1.10334,0.08,0.8,0.08 pips
113454343,2022-06-29 09:15:00,SELL,0.0036,AUDNZD,1.10651,1.10389,0.06,0.56,0.06 pips
113454259,2022-06-29 06:45:00,SELL,0.0036,AUDNZD,1.10659,1.10524,0.03,0.29,0.03 pips
113354388,2022-06-26 12:49:37,WITHDRAWAL,0,-80,,,,,
113042557,2022-06-21 09:00:01,SELL,0.0044,NZDCAD,0.82644,0.81923,0.24,2.32,0.24 pips
113041627,2022-06-21 04:45:02,SELL,0.0044,NZDCAD,0.82631,0.82125,0.17,1.62,0.17 pips
113040759,2022-06-21 20:00:00,SELL,0.0044,NZDCAD,0.82619,0.81909,0.24,2.29,0.24 pips
113040025,2022-06-21 22:00:01,SELL,0.0044,NZDCAD,0.82619,0.81937,0.23,2.2,0.23 pips
113038505,2022-06-20 19:30:02,SELL,0.0044,NZDCAD,0.82575,0.82362,0.07,0.69,0.07 pips
113038381,2022-06-20 20:00:00,SELL,0.0044,NZDCAD,0.82575,0.82339,0.08,0.76,0.08 pips
112993206,2022-06-21 10:30:12,SELL,0.001,USDCAD,1.30566,1.29189,0.11,1.01,0.11 pips
112993112,2022-06-20 19:00:32,SELL,0.0036,USDCAD,1.30567,1.29846,0.2,1.89,0.20 pips
112989915,2022-06-20 19:00:32,SELL,0.0036,USDCAD,1.30694,1.29846,0.23,2.23,0.23 pips
112984144,2022-06-20 17:45:26,SELL,0.0037,USDCAD,1.30342,1.29896,0.13,1.2,0.13 pips
112981461,2022-06-20 11:30:18,SELL,0.0037,USDCAD,1.30378,1.29946,0.12,1.16,0.12 pips
112981365,2022-06-20 12:30:21,SELL,0.0037,USDCAD,1.30378,1.299,0.13,1.29,0.13 pips
112981271,2022-06-20 12:45:07,SELL,0.0037,USDCAD,1.30377,1.29884,0.14,1.33,0.14 pips
