"datetime","open","high","low","close","Hp","Lp"
1630490400,47688.05,47732.83,47688.04,47724.43,47858.3516,47445.7188
1630490460,47724.42,47739.85,47636.8,47655.34,47858.3516,47445.7188
1630490520,47655.34,47684.6,47616.31,47682.89,47858.3516,47445.7188
1630490580,47684.16,47694.24,47655.72,47655.73,47858.3516,47445.7188
1630490640,47655.72,47679.36,47620.43,47649.91,47858.3516,47445.7188
1630490700,47649.9,47666.07,47629.21,47643.22,47858.3516,47445.7188
1630490760,47643.23,47698.18,47636.07,47650.01,47858.3516,47445.7188
1630490820,47650,47725.9,47640.52,47682.75,47858.3516,47445.7188
1630490880,47682.75,47704.4,47675.31,47685.34,47858.3516,47445.7188
1630490940,47685.34,47739,47670,47729.11,47858.3516,47445.7188
1630491000,47729.1,47737.46,47699.52,47716.44,47858.3516,47445.7188
1630491060,47716.44,47745,47716.44,47737.89,47858.3516,47445.7188
1630491120,47737.9,47737.9,47722.43,47737.82,47858.3516,47445.7188
1630491180,47737.83,47750,47730.07,47740,47858.3516,47445.7188
1630491240,47740,47750,47731.51,47732,47858.3516,47445.7188
1630491300,47732,47735.97,47685.54,47717.99,47858.3516,47445.7188
1630491360,47717.99,47725.46,47691.09,47722.66,47858.3516,47445.7188
1630491420,47722.66,47724.46,47684.3,47687.16,47858.3516,47445.7188
1630491480,47687.17,47718,47679.56,47708.51,47858.3516,47445.7188
1630491540,47708.51,47720,47708.51,47712.22,47858.3516,47445.7188
1630491600,47712.23,47717.79,47700.74,47714.47,47858.3516,47445.7188
1630491660,47714.47,47739.84,47714.47,47729.26,47858.3516,47445.7188
1630491720,47729.25,47729.99,47716.5,47723.49,47858.3516,47445.7188
1630491780,47723.49,47723.51,47716.5,47720.95,47858.3516,47445.7188
1630491840,47720.96,47720.96,47681,47683.37,47858.3516,47445.7188
1630491900,47683.38,47686.87,47660.83,47660.99,47858.3516,47445.7188
1630491960,47660.99,47705.1,47660.99,47673.54,47858.3516,47445.7188
1630492020,47673.54,47680,47663.08,47665.67,47858.3516,47445.7188
1630492080,47665.67,47713,47665.67,47708.83,47858.3516,47445.7188
1630492140,47712.58,47719.91,47702.59,47705.16,47858.3516,47445.7188
1630492200,47705.16,47716.29,47703.22,47711.54,47858.3516,47445.7188
1630492260,47711.53,47718.7,47693.44,47694.79,47858.3516,47445.7188
1630492320,47694.79,47714.9,47691.32,47710.43,47858.3516,47445.7188
1630492380,47710.42,47710.42,47699.25,47703.38,47858.3516,47445.7188
1630492440,47703.39,47749.2,47703.38,47741.03,47858.3516,47445.7188
1630492500,47741.03,47789,47735.75,47775.9,47858.3516,47445.7188
1630492560,47775.91,47789,47752.78,47772.02,47858.3516,47445.7188
1630492620,47772.01,47791,47753,47772.27,47858.3516,47445.7188
1630492680,47772.28,47778.37,47752.08,47755.69,47858.3516,47445.7188
1630492740,47755.69,47761.81,47730.47,47731.97,47858.3516,47445.7188
1630492800,47731.97,47766.56,47731.09,47755.99,47858.3516,47445.7188
1630492860,47755.99,47759.86,47751.28,47758.01,47858.3516,47445.7188
1630492920,47758.01,47764.94,47707,47708.37,47858.3516,47445.7188
1630492980,47708.36,47732.35,47705.64,47715.64,47858.3516,47445.7188
1630493040,47715.36,47723.84,47684.23,47699.35,47858.3516,47445.7188
1630493100,47699.36,47708.95,47662.01,47666.6,47858.3516,47445.7188
1630493160,47666.61,47667.85,47633.01,47643.83,47858.3516,47445.7188
1630493220,47643.82,47653.69,47620.47,47620.47,47858.3516,47445.7188
1630493280,47620.47,47620.47,47561,47586.49,47858.3516,47445.7188
1630493340,47586.5,47626.12,47585.45,47625.58,47858.3516,47445.7188
1630493400,47623.27,47623.28,47578.85,47595.33,47858.3516,47445.7188
1630493460,47595.32,47601.44,47583.62,47583.62,47858.3516,47445.7188
1630493520,47583.63,47612.8,47580,47612.8,47858.3516,47445.7188
1630493580,47612.79,47614.82,47580.84,47597.85,47858.3516,47445.7188
1630493640,47597.06,47614.82,47593.19,47595.29,47858.3516,47445.7188
