,0,1,2,3,4,5,6,7,8,9,10
0,274996586,2022-11-18 16:18:44,BUY,0.001,XAUUSD,1759.15,1760.73,0.02,0.16,0.02 pips,
1,274996267,2022-11-18 16:18:44,BUY,0.001,XAUUSD,1760.54,1760.73,0.00,0.02,0.00 pips,
2,274996046,2022-11-18 16:18:44,BUY,0.001,XAUUSD,1761.18,1760.73,0.00,-0.05,0.00 pips,
3,274995807,2022-11-18 16:04:20,BUY,0.001,XAUUSD,1760.68,1761.08,0.00,0.04,0.00 pips,
4,274995067,2022-11-18 16:00:24,BUY,0.001,XAUUSD,1760.52,1760.96,0.00,0.04,0.00 pips,
5,274994984,2022-11-18 15:56:38,BUY,0.001,XAUUSD,1759.82,1760.23,0.00,0.04,0.00 pips,
6,274994601,2022-11-18 15:55:47,SELL,0.001,XAUUSD,1760.05,1759.62,0.00,0.04,0.00 pips,
7,274994200,2022-11-18 15:52:15,SELL,0.001,XAUUSD,1760.31,1759.87,0.00,0.04,0.00 pips,
8,274994093,2022-11-18 15:48:47,SELL,0.001,XAUUSD,1760.53,1760.13,0.00,0.04,0.00 pips,
9,274994021,2022-11-18 15:47:53,SELL,0.001,XAUUSD,1761.07,1760.66,0.00,0.04,0.00 pips,
10,274993719,2022-11-18 15:46:43,SELL,0.001,XAUUSD,1762.00,1761.24,0.01,0.08,0.01 pips,
11,274993441,2022-11-18 15:46:43,SELL,0.001,XAUUSD,1761.35,1761.24,0.00,0.01,0.00 pips,
12,274993362,2022-11-18 15:37:24,SELL,0.001,XAUUSD,1762.36,1761.88,0.00,0.05,0.00 pips,
13,274991716,2022-11-18 15:36:23,SELL,0.0015,XAUUSD,1763.94,1762.16,0.03,0.27,0.03 pips,
14,274991175,2022-11-18 15:36:23,SELL,0.0015,XAUUSD,1763.06,1762.16,0.01,0.14,0.01 pips,
15,274990682,2022-11-18 15:36:23,SELL,0.001,XAUUSD,1762.45,1762.16,0.00,0.03,0.00 pips,
16,274990478,2022-11-18 15:36:23,SELL,0.001,XAUUSD,1761.59,1762.16,-0.01,-0.06,-0.01 pips,
17,274990133,2022-11-18 15:36:23,SELL,0.001,XAUUSD,1760.82,1762.16,-0.01,-0.13,-0.01 pips,
18,274989700,2022-11-18 15:11:20,BUY,0.001,XAUUSD,1760.50,1761.39,0.01,0.09,0.01 pips,
19,274989609,2022-11-18 15:11:20,BUY,0.001,XAUUSD,1761.33,1761.39,0.00,0.01,0.00 pips,1 2 3 4 5 ... 2147
0,242959545,2021-04-26 15:35:10,BUY,0.0015,XAUUSD,1770.09,1771.22,0.02,0.17,0.02 pips,
1,242959470,2021-04-26 15:35:10,BUY,0.001,XAUUSD,1770.64,1771.22,0.01,0.06,0.01 pips,
2,242959130,2021-04-26 15:35:10,BUY,0.001,XAUUSD,1771.31,1771.22,0.00,-0.01,0.00 pips,
3,242959008,2021-04-26 15:35:10,BUY,0.001,XAUUSD,1771.54,1771.22,0.00,-0.03,0.00 pips,
4,242958884,2021-04-26 15:55:31,BUY,0.0015,GBPUSD,1.38807,1.38722,-0.01,-0.13,-0.01 pips,
5,242958783,2021-04-26 15:28:57,BUY,0.001,XAUUSD,1770.90,1771.30,0.00,0.04,0.00 pips,
6,242958374,2021-04-26 15:26:43,BUY,0.001,XAUUSD,1770.30,1770.95,0.01,0.07,0.01 pips,
7,242958052,2021-04-26 15:26:43,BUY,0.001,XAUUSD,1770.79,1770.95,0.00,0.02,0.00 pips,
8,242958046,2021-04-26 15:55:30,BUY,0.0015,GBPUSD,1.38851,1.38723,-0.02,-0.19,-0.02 pips,
9,242957446,2021-04-26 15:55:29,BUY,0.001,GBPUSD,1.38873,1.38721,-0.02,-0.15,-0.02 pips,
10,242956130,2021-04-26 15:55:28,BUY,0.001,GBPUSD,1.38908,1.38720,-0.02,-0.19,-0.02 pips,
11,242952814,2021-04-26 15:55:27,BUY,0.001,GBPUSD,1.38947,1.38720,-0.02,-0.23,-0.02 pips,
12,242950746,2021-04-26 14:51:13,WITHDRAWAL,0.00,-82.00,,,,,,
13,242950112,2021-04-26 14:46:46,DEPOSIT,0.00,1082.88,1 ... 2143 2144 2145 2146 2147,,,,,
0,242972429,2021-04-26 16:40:51,BUY,0.001,XAUUSD,1777.67,1777.29,0.00,-0.04,0.00 pips,
1,242972084,2021-04-26 16:36:34,BUY,0.001,XAUUSD,1776.51,1776.98,0.00,0.05,0.00 pips,
2,242970519,2021-04-26 16:35:09,SELL,0.001,XAUUSD,1775.76,1774.87,0.01,0.09,0.01 pips,
3,242966238,2021-04-26 16:32:46,SELL,0.0081,XAUUSD,1779.80,1775.82,0.32,3.22,0.32 pips,
4,242965889,2021-04-26 16:32:46,SELL,0.0081,XAUUSD,1778.20,1775.82,0.19,1.93,0.19 pips,
5,242963329,2021-04-26 16:32:46,SELL,0.0081,XAUUSD,1777.16,1775.82,0.11,1.09,0.11 pips,
6,242963105,2021-04-26 16:32:46,SELL,0.0046,XAUUSD,1776.50,1775.82,0.03,0.31,0.03 pips,
7,242962854,2021-04-26 16:32:46,SELL,0.0046,XAUUSD,1776.39,1775.82,0.03,0.26,0.03 pips,
8,242962451,2021-04-26 16:32:46,SELL,0.0046,XAUUSD,1775.65,1775.82,-0.01,-0.08,-0.01 pips,
9,242962288,2021-04-26 15:55:44,BUY,0.0026,GBPUSD,1.38685,1.38700,0.00,0.04,0.00 pips,
10,242961964,2021-04-26 16:32:46,SELL,0.0026,XAUUSD,1775.43,1775.82,-0.01,-0.10,-0.01 pips,
11,242961803,2021-04-26 16:32:46,SELL,0.0026,XAUUSD,1774.46,1775.82,-0.04,-0.35,-0.04 pips,
12,242961443,2021-04-26 16:32:46,SELL,0.0026,XAUUSD,1774.17,1775.82,-0.04,-0.43,-0.04 pips,
13,242961301,2021-04-26 16:32:46,SELL,0.0015,XAUUSD,1773.95,1775.82,-0.03,-0.28,-0.03 pips,
14,242960992,2021-04-26 16:32:46,SELL,0.0015,XAUUSD,1773.03,1775.82,-0.04,-0.42,-0.04 pips,
15,242960806,2021-04-26 16:32:46,SELL,0.0015,XAUUSD,1772.15,1775.82,-0.06,-0.55,-0.06 pips,
16,242960750,2021-04-26 16:32:46,SELL,0.001,XAUUSD,1772.10,1775.82,-0.04,-0.37,-0.04 pips,
17,242960515,2021-04-26 16:32:46,SELL,0.001,XAUUSD,1770.88,1775.82,-0.05,-0.49,-0.05 pips,
18,242960411,2021-04-26 16:32:46,SELL,0.001,XAUUSD,1769.95,1775.82,-0.06,-0.59,-0.06 pips,
19,242959790,2021-04-26 15:55:39,BUY,0.0015,GBPUSD,1.38774,1.38708,-0.01,-0.10,-0.01 pips,1 ... 2143 2144 2145 2146 2147
0,242980657,2021-04-26 17:18:48,BUY,0.001,XAUUSD,1778.38,1778.76,0.00,0.04,0.00 pips,
1,242980253,2021-04-26 17:17:25,BUY,0.001,XAUUSD,1777.60,1777.97,0.00,0.04,0.00 pips,
2,242979754,2021-04-26 17:15:21,BUY,0.001,XAUUSD,1776.52,1776.92,0.00,0.04,0.00 pips,
3,242978865,2021-04-26 17:13:51,BUY,0.001,XAUUSD,1775.57,1776.16,0.01,0.06,0.01 pips,
4,242978836,2021-04-26 17:13:51,BUY,0.001,XAUUSD,1775.97,1776.16,0.00,0.02,0.00 pips,
5,242977303,2021-04-26 17:10:59,BUY,0.0046,XAUUSD,1773.32,1775.41,0.10,0.96,0.10 pips,
6,242976894,2021-04-26 17:10:59,BUY,0.0046,XAUUSD,1773.97,1775.41,0.07,0.66,0.07 pips,
7,242976706,2021-04-26 17:10:59,BUY,0.0046,XAUUSD,1774.38,1775.41,0.05,0.47,0.05 pips,
8,242975271,2021-04-26 17:10:59,BUY,0.0026,XAUUSD,1774.82,1775.41,0.02,0.15,0.02 pips,
9,242974729,2021-04-26 17:10:59,BUY,0.0026,XAUUSD,1775.46,1775.41,0.00,-0.01,0.00 pips,
10,242974645,2021-04-26 17:10:59,BUY,0.0026,XAUUSD,1775.80,1775.41,-0.01,-0.10,-0.01 pips,
11,242974290,2021-04-26 17:10:59,BUY,0.0015,XAUUSD,1776.07,1775.41,-0.01,-0.10,-0.01 pips,
12,242973996,2021-04-26 17:10:59,BUY,0.0015,XAUUSD,1776.44,1775.41,-0.02,-0.15,-0.02 pips,
13,242973813,2021-04-26 17:10:59,BUY,0.0015,XAUUSD,1776.67,1775.41,-0.02,-0.19,-0.02 pips,
14,242973434,2021-04-26 17:10:59,BUY,0.001,XAUUSD,1776.96,1775.41,-0.02,-0.16,-0.02 pips,
15,242973414,2021-04-26 17:10:59,BUY,0.001,XAUUSD,1777.17,1775.41,-0.02,-0.18,-0.02 pips,
16,242973067,2021-04-26 17:10:59,BUY,0.001,XAUUSD,1777.72,1775.41,-0.02,-0.23,-0.02 pips,
17,242972789,2021-04-26 16:40:51,BUY,0.0015,XAUUSD,1776.27,1777.29,0.02,0.15,0.02 pips,
18,242972726,2021-04-26 16:40:51,BUY,0.001,XAUUSD,1776.88,1777.29,0.00,0.04,0.00 pips,
19,242972718,2021-04-26 16:40:51,BUY,0.001,XAUUSD,1777.16,1777.29,0.00,0.01,0.00 pips,1 ... 2143 2144 2145 2146 2147
0,242990825,2021-04-26 18:33:43,SELL,0.001,XAUUSD,1777.88,1777.99,0.00,-0.01,0.00 pips,
1,242990689,2021-04-26 18:33:43,SELL,0.001,XAUUSD,1777.63,1777.99,0.00,-0.04,0.00 pips,
2,242990363,2021-04-26 18:11:12,BUY,0.001,XAUUSD,1777.92,1778.29,0.00,0.04,0.00 pips,
3,242989717,2021-04-26 18:08:05,SELL,0.001,XAUUSD,1777.97,1777.27,0.01,0.07,0.01 pips,
