,0,1,2,3,4,5,6,7,8,9,10
0,35121024,2022-11-17 14:34:22,SELL,0.06,XAUUSD,1764.99,1764.21,0.43,4.26,0.43 pips,
1,35101323,2022-11-17 06:56:28,SELL,0.06,XAUUSD,1763.10,1762.73,0.18,1.80,0.18 pips,
2,35101296,2022-11-17 06:56:32,SELL,0.06,XAUUSD,1763.07,1762.73,0.16,1.62,0.16 pips,
3,35073977,2022-11-16 15:45:41,BUY,0.06,XAUUSD,1779.36,1781.07,0.98,9.83,0.98 pips,
4,35073854,2022-11-16 15:45:34,BUY,0.06,XAUUSD,1780.24,1781.00,0.41,4.13,0.41 pips,
5,35073819,2022-11-16 15:45:38,BUY,0.06,XAUUSD,1780.06,1781.15,0.61,6.11,0.61 pips,
6,35049185,2022-11-16 07:11:22,BUY,0.09,XAUUSD,1772.91,1773.83,0.76,7.64,0.76 pips,
7,35005993,2022-11-15 15:41:23,BUY,0.05,XAUUSD,1783.81,1781.95,-0.97,-9.66,-0.97 pips,
8,34919520,2022-11-14 09:03:54,BUY,0.09,XAUUSD,1762.35,1762.65,0.21,2.07,0.21 pips,
9,34887640,2022-11-11 16:24:21,SELL,0.09,XAUUSD,1765.54,1760.55,4.43,44.27,4.43 pips,
10,34887004,2022-11-11 16:24:20,SELL,0.09,XAUUSD,1765.83,1760.58,4.66,46.61,4.66 pips,
11,34886844,2022-11-11 16:24:19,SELL,0.09,XAUUSD,1765.59,1760.45,4.56,45.62,4.56 pips,
12,34886742,2022-11-11 16:24:19,SELL,0.09,XAUUSD,1765.32,1760.43,4.34,43.37,4.34 pips,
13,34886454,2022-11-11 16:24:18,SELL,0.09,XAUUSD,1763.65,1760.45,2.82,28.17,2.82 pips,
14,34885996,2022-11-11 16:24:17,SELL,0.09,XAUUSD,1762.87,1760.42,2.14,21.42,2.14 pips,
15,34879535,2022-11-11 16:24:15,SELL,0.09,XAUUSD,1759.37,1760.36,-0.95,-9.54,-0.95 pips,
16,34877963,2022-11-11 16:24:14,SELL,0.09,XAUUSD,1757.07,1760.33,-3.00,-29.97,-3.00 pips,
17,34877850,2022-11-11 16:24:09,SELL,0.09,XAUUSD,1756.13,1760.42,-3.92,-39.24,-3.92 pips,
18,34877799,2022-11-11 16:24:06,SELL,0.06,XAUUSD,1756.24,1760.46,-2.57,-25.74,-2.57 pips,
19,34877768,2022-11-11 16:23:59,SELL,0.06,XAUUSD,1756.09,1760.31,-2.57,-25.74,-2.57 pips,1 2 3 4 5 ... 14
0,34877619,2022-11-11 16:23:59,SELL,0.06,XAUUSD,1755.98,1760.41,-2.70,-27.00,-2.70 pips,
1,34783299,2022-11-10 09:10:15,SELL,0.09,XAUUSD,1708.87,1708.40,0.36,3.61,0.36 pips,
2,34689453,2022-11-08 16:05:50,BUY,0.05,XAUUSD,1673.10,1674.10,0.47,4.67,0.47 pips,
3,34689225,2022-11-08 16:05:49,BUY,0.12,XAUUSD,1673.65,1674.10,0.46,4.60,0.46 pips,
4,34632899,2022-11-07 13:41:42,BUY,0.06,XAUUSD,1677.62,1677.95,0.16,1.58,0.16 pips,
5,34569123,2022-11-04 14:00:35,SELL,0.07,XAUUSD,1651.79,1650.75,0.68,6.82,0.68 pips,
6,34568927,2022-11-04 14:00:34,SELL,0.07,XAUUSD,1651.62,1650.69,0.61,6.05,0.61 pips,
7,34568755,2022-11-04 14:00:19,SELL,0.07,XAUUSD,1651.15,1651.07,0.01,0.10,0.01 pips,
8,34530318,2022-11-03 16:22:31,SELL,0.08,XAUUSD,1624.57,1623.98,0.42,4.20,0.42 pips,
9,34529010,2022-11-03 16:04:36,SELL,0.08,XAUUSD,1623.37,1624.28,-0.78,-7.80,-0.78 pips,
10,34442275,2022-11-02 09:47:04,BUY,0.07,XAUUSD,1651.53,1652.18,0.41,4.09,0.41 pips,
11,34441962,2022-11-02 09:47:02,BUY,0.06,XAUUSD,1651.11,1652.21,0.62,6.20,0.62 pips,
12,34441555,2022-11-02 09:47:02,BUY,0.05,XAUUSD,1652.08,1652.24,0.05,0.47,0.05 pips,
13,34441234,2022-11-02 09:47:00,BUY,0.05,XAUUSD,1652.43,1652.27,-0.11,-1.13,-0.11 pips,
14,34441170,2022-11-02 09:47:01,BUY,0.03,XAUUSD,1652.10,1652.24,0.02,0.22,0.02 pips,
15,34399454,2022-11-01 10:46:53,BUY,0.05,XAUUSD,1646.79,1647.78,0.46,4.62,0.46 pips,
16,34399114,2022-11-01 10:46:52,BUY,0.05,XAUUSD,1647.08,1647.81,0.33,3.32,0.33 pips,
17,34398884,2022-11-01 10:46:52,BUY,0.06,XAUUSD,1646.91,1647.78,0.48,4.82,0.48 pips,
18,34398633,2022-11-01 10:46:50,BUY,0.03,XAUUSD,1647.80,1647.77,-0.03,-0.29,-0.03 pips,
19,34398579,2022-11-01 10:46:51,BUY,0.03,XAUUSD,1648.12,1647.77,-0.13,-1.25,-0.13 pips,1 2 3 4 5 ... 14
0,34261668,2022-10-27 15:36:10,BUY,0.05,XAUUSD,1660.24,1661.34,0.52,5.17,0.52 pips,
1,34209686,2022-10-26 14:32:16,BUY,0.07,XAUUSD,1670.72,1671.53,0.52,5.20,0.52 pips,
2,34209556,2022-10-26 14:32:15,BUY,0.07,XAUUSD,1671.12,1671.51,0.23,2.26,0.23 pips,
3,33992284,2022-10-20 14:11:55,BUY,0.06,XAUUSD,1638.16,1638.84,0.37,3.69,0.37 pips,
4,33954392,2022-10-19 15:07:28,SELL,0.06,XAUUSD,1635.05,1633.17,1.09,10.89,1.09 pips,
5,33953779,2022-10-19 15:07:26,SELL,0.06,XAUUSD,1633.62,1633.02,0.32,3.21,0.32 pips,
6,33953686,2022-10-19 15:07:27,SELL,0.06,XAUUSD,1633.09,1633.00,0.02,0.15,0.02 pips,
7,33952911,2022-10-19 15:07:29,SELL,0.06,XAUUSD,1632.22,1633.17,-0.61,-6.09,-0.61 pips,
8,33911709,2022-10-18 15:31:25,BUY,0.06,XAUUSD,1654.82,1656.23,0.81,8.06,0.81 pips,
9,33911357,2022-10-18 15:31:24,BUY,0.05,XAUUSD,1655.73,1656.36,0.28,2.82,0.28 pips,
10,33910512,2022-10-18 15:11:41,SELL,0.05,XAUUSD,1652.12,1654.64,-1.29,-12.93,-1.29 pips,
11,33871890,2022-10-17 17:22:06,SELL,0.08,XAUUSD,1667.07,1661.76,4.20,41.95,4.20 pips,
12,33870440,2022-10-17 17:22:06,SELL,0.06,XAUUSD,1665.57,1661.71,2.28,22.76,2.28 pips,
