,0,1,2,3,4,5,6,7,8,9,10
0,35127777,2022-11-17 20:19:04,BUY,0.03,AUDCAD,0.88904,0.89186,0.63,6.27,0.63 pips,
1,35121650,2022-11-17 19:57:03,BUY,0.03,NZDCAD,0.81431,0.81539,0.24,2.36,0.24 pips,
2,35116535,2022-11-17 14:14:25,BUY,0.03,NZDCAD,0.81517,0.81621,0.23,2.26,0.23 pips,
3,35112028,2022-11-17 20:19:04,BUY,0.03,AUDCAD,0.89351,0.89186,-0.38,-3.79,-0.38 pips,
4,35108845,2022-11-17 12:45:59,BUY,0.03,AUDNZD,1.09323,1.09429,0.19,1.86,0.19 pips,
5,35081315,2022-11-16 17:44:49,BUY,0.03,AUDNZD,1.09507,1.09613,0.19,1.87,0.19 pips,
6,35018201,2022-11-16 02:31:53,SELL,0.06,NZDCAD,0.81918,0.81617,1.33,13.30,1.33 pips,
7,35017932,2022-11-15 20:26:05,SELL,0.03,AUDCAD,0.90071,0.89963,0.24,2.35,0.24 pips,
8,35007030,2022-11-15 15:57:00,BUY,0.03,AUDNZD,1.09509,1.09614,0.19,1.86,0.19 pips,
9,34990885,2022-11-15 12:32:28,SELL,0.03,AUDNZD,1.09922,1.09810,0.20,1.99,0.20 pips,
10,34980604,2022-11-16 02:31:53,SELL,0.03,NZDCAD,0.81582,0.81617,-0.09,-0.93,-0.09 pips,
11,34969135,2022-11-15 11:43:58,BUY,0.03,AUDNZD,1.09725,1.09830,0.19,1.86,0.19 pips,
12,34957618,2022-11-14 23:16:02,SELL,0.03,AUDCAD,0.89281,0.89175,0.23,2.31,0.23 pips,
13,34955358,2022-11-16 02:31:53,SELL,0.03,NZDCAD,0.81180,0.81617,-1.01,-10.07,-1.01 pips,
14,34938826,2022-11-14 15:10:33,WITHDRAWAL,0.00,-750.18,,,,,,
15,34935352,2022-11-14 15:08:15,SELL,0.03,AUDNZD,1.09975,1.09961,0.02,0.18,0.02 pips,
16,34905734,2022-11-12 08:23:51,WITHDRAWAL,0.00,-25.90,,,,,,
17,34811062,2022-11-10 16:06:55,SELL,0.03,AUDNZD,1.09608,1.09503,0.18,1.80,0.18 pips,
18,34807878,2022-11-10 15:52:36,SELL,0.03,NZDCAD,0.80055,0.79950,0.23,2.28,0.23 pips,
19,34807615,2022-11-10 15:52:50,SELL,0.03,AUDCAD,0.87662,0.87557,0.23,2.27,0.23 pips,1 2 3 4 5 ... 18
0,34735796,2022-11-10 02:49:51,BUY,0.03,NZDCAD,0.79459,0.79684,0.47,4.72,0.47 pips,
1,34730388,2022-11-09 17:37:26,SELL,0.03,AUDNZD,1.09501,1.09391,0.19,1.86,0.19 pips,
2,34724875,2022-11-10 02:49:51,BUY,0.03,NZDCAD,0.79783,0.79684,-0.25,-2.47,-0.25 pips,
3,34719772,2022-11-09 04:29:19,BUY,0.03,NZDCAD,0.79833,0.79937,0.23,2.25,0.23 pips,
4,34700350,2022-11-08 19:52:36,SELL,0.03,NZDCAD,0.80268,0.80163,0.23,2.28,0.23 pips,
5,34700194,2022-11-08 19:59:20,SELL,0.03,AUDCAD,0.87612,0.87505,0.23,2.32,0.23 pips,
6,34671455,2022-11-08 10:06:08,BUY,0.03,NZDCAD,0.79829,0.79933,0.22,2.23,0.22 pips,
7,34662583,2022-11-08 04:41:19,BUY,0.03,AUDNZD,1.08911,1.09018,0.18,1.82,0.18 pips,
8,34641570,2022-11-07 17:11:00,SELL,0.03,NZDCAD,0.80113,0.80008,0.23,2.27,0.23 pips,
9,34641283,2022-11-07 17:23:24,SELL,0.03,AUDCAD,0.87430,0.87324,0.23,2.27,0.23 pips,
10,34602445,2022-11-05 08:46:02,WITHDRAWAL,0.00,-25.76,,,,,,
11,34551643,2022-11-04 07:34:19,SELL,0.03,NZDCAD,0.79648,0.79544,0.22,2.22,0.22 pips,
12,34549531,2022-11-04 09:11:34,SELL,0.03,AUDCAD,0.86733,0.86627,0.23,2.25,0.23 pips,
13,34545081,2022-11-04 07:00:52,BUY,0.03,NZDCAD,0.79409,0.79561,0.32,3.20,0.32 pips,
14,34536454,2022-11-03 21:25:41,BUY,0.03,AUDCAD,0.86413,0.86519,0.22,2.24,0.22 pips,
15,34511469,2022-11-03 15:27:59,BUY,0.03,AUDCAD,0.86676,0.86783,0.22,2.24,0.22 pips,
16,34503347,2022-11-04 07:00:52,BUY,0.03,NZDCAD,0.79591,0.79561,-0.08,-0.79,-0.08 pips,
17,34503111,2022-11-03 10:45:03,BUY,0.03,AUDCAD,0.86780,0.86885,0.22,2.21,0.22 pips,
18,34490983,2022-11-03 03:24:14,BUY,0.03,AUDCAD,0.86898,0.87004,0.22,2.24,0.22 pips,
19,34443669,2022-11-02 21:23:07,SELL,0.03,NZDCAD,0.79894,0.79790,0.22,2.21,0.22 pips,1 2 3 4 5 ... 18
0,34385291,2022-11-01 05:30:36,SELL,0.03,NZDCAD,0.79505,0.79397,0.23,2.32,0.23 pips,
1,34385081,2022-11-01 05:30:02,SELL,0.03,AUDCAD,0.87447,0.87299,0.32,3.19,0.32 pips,
2,34369853,2022-10-31 17:42:17,BUY,0.03,AUDCAD,0.87020,0.87125,0.22,2.23,0.22 pips,
3,34350586,2022-10-31 11:17:18,DEPOSIT,0.00,747.79,,,,,,
4,34342134,2022-10-31 10:30:30,SELL,0.03,NZDCAD,0.79330,0.79226,0.22,2.21,0.22 pips,
5,34327378,2022-10-28 18:34:10,WITHDRAWAL,0.00,-27.21,,,,,,
6,34259126,2022-10-27 15:31:01,BUY,0.03,AUDCAD,0.87608,0.87716,0.23,2.30,0.23 pips,
7,34234263,2022-10-27 13:49:44,SELL,0.06,NZDCAD,0.79220,0.78958,1.14,11.41,1.14 pips,
8,34224132,2022-10-27 12:44:14,SELL,0.12,AUDCAD,0.88139,0.87754,3.32,33.20,3.32 pips,
9,34219059,2022-10-27 13:49:44,SELL,0.03,NZDCAD,0.79072,0.78958,0.22,2.24,0.22 pips,
10,34200925,2022-10-27 12:44:14,SELL,0.06,AUDCAD,0.87703,0.87754,-0.26,-2.64,-0.26 pips,
11,34192985,2022-10-27 13:49:44,SELL,0.03,NZDCAD,0.78454,0.78958,-1.14,-11.38,-1.14 pips,
12,34192116,2022-10-27 12:44:14,SELL,0.03,AUDCAD,0.87319,0.87754,-0.98,-9.78,-0.98 pips,
13,34187991,2022-10-26 09:02:55,SELL,0.03,AUDNZD,1.11461,1.11349,0.19,1.85,0.19 pips,
14,34184829,2022-10-26 04:32:18,SELL,0.03,AUDNZD,1.11353,1.11243,0.18,1.82,0.18 pips,
