,0,1,2,3,4,5,6,7,8,9,10
0,47039915,2022-11-17 19:25:31,WITHDRAWAL,0.00,-9.47,,,,,,
1,47028812,2022-11-17 17:10:54,SELL,0.0015,EURUSD,1.03314,1.03419,-0.02,-0.16,-0.02 pips,
2,47028746,2022-11-17 17:10:10,SELL,0.01,EURUSD,1.03387,1.03365,0.02,0.22,0.02 pips,
3,47018326,2022-11-17 15:00:30,SELL,0.001,EURUSD,1.03326,1.03261,0.01,0.07,0.01 pips,
4,47013244,2022-11-17 14:38:27,SELL,0.001,EURUSD,1.03459,1.03399,0.01,0.06,0.01 pips,
5,47008638,2022-11-17 13:40:26,SELL,0.001,EURUSD,1.03373,1.03308,0.01,0.07,0.01 pips,
6,47003619,2022-11-17 12:11:50,SELL,0.001,EURUSD,1.03630,1.03567,0.01,0.06,0.01 pips,
7,46994085,2022-11-17 11:00:05,SELL,0.001,EURUSD,1.03918,1.03858,0.01,0.06,0.01 pips,
8,46990919,2022-11-17 09:24:36,SELL,0.0016,EURUSD,1.03867,1.03747,0.02,0.19,0.02 pips,
9,46985901,2022-11-17 09:24:36,SELL,0.001,EURUSD,1.03713,1.03747,0.00,-0.03,0.00 pips,
10,46983924,2022-11-17 05:14:52,SELL,0.001,EURUSD,1.03696,1.03634,0.01,0.06,0.01 pips,
11,46975837,2022-11-17 04:06:42,SELL,0.0016,EURUSD,1.03904,1.03761,0.02,0.23,0.02 pips,
12,46973809,2022-11-17 04:06:55,SELL,0.001,EURUSD,1.03660,1.03751,-0.01,-0.09,-0.01 pips,
13,46970796,2022-11-16 20:09:28,SELL,0.001,EURUSD,1.03831,1.03788,0.00,0.04,0.00 pips,
14,46968162,2022-11-16 19:14:26,SELL,0.001,EURUSD,1.03940,1.03878,0.01,0.06,0.01 pips,
15,46964725,2022-11-16 18:36:22,SELL,0.001,EURUSD,1.04029,1.03967,0.01,0.06,0.01 pips,
16,46959993,2022-11-16 17:07:24,SELL,0.001,EURUSD,1.03871,1.03811,0.01,0.06,0.01 pips,
17,46955376,2022-11-16 16:51:36,SELL,0.001,EURUSD,1.03900,1.03839,0.01,0.06,0.01 pips,
18,46940362,2022-11-16 15:30:15,SELL,0.0037,EURUSD,1.04207,1.03918,0.11,1.07,0.11 pips,
19,46933015,2022-11-16 15:30:15,SELL,0.0024,EURUSD,1.04017,1.03918,0.02,0.24,0.02 pips,1 2 3 4 5 ... 107
0,46925005,2022-11-16 15:30:15,SELL,0.0016,EURUSD,1.03726,1.03918,-0.03,-0.31,-0.03 pips,
1,46922488,2022-11-16 15:30:15,SELL,0.001,EURUSD,1.03445,1.03918,-0.05,-0.47,-0.05 pips,
2,46919816,2022-11-16 06:13:40,SELL,0.001,EURUSD,1.03528,1.03467,0.01,0.06,0.01 pips,
3,46916383,2022-11-16 04:51:44,SELL,0.02,EURUSD,1.03855,1.03754,0.20,2.02,0.20 pips,
4,46915926,2022-11-16 05:44:08,SELL,0.0016,EURUSD,1.03734,1.03611,0.02,0.20,0.02 pips,
5,46914151,2022-11-16 05:44:31,SELL,0.001,EURUSD,1.03427,1.03623,-0.02,-0.20,-0.02 pips,
6,46911832,2022-11-16 03:32:58,SELL,0.001,EURUSD,1.03436,1.03376,0.01,0.06,0.01 pips,
7,46909087,2022-11-16 02:09:29,SELL,0.001,EURUSD,1.03568,1.03506,0.01,0.06,0.01 pips,
8,46907110,2022-11-16 01:26:25,SELL,0.001,EURUSD,1.03475,1.03414,0.01,0.06,0.01 pips,
9,46906189,2022-11-15 23:12:26,SELL,0.001,EURUSD,1.03525,1.03464,0.01,0.06,0.01 pips,
10,46903671,2022-11-15 22:51:22,SELL,0.001,EURUSD,1.03635,1.03574,0.01,0.06,0.01 pips,
11,46898599,2022-11-15 21:01:34,SELL,0.001,EURUSD,1.03087,1.03020,0.01,0.07,0.01 pips,
12,46891277,2022-11-15 20:11:19,SELL,0.001,EURUSD,1.03845,1.03785,0.01,0.06,0.01 pips,
13,46883027,2022-11-15 19:02:01,SELL,0.001,EURUSD,1.03672,1.03611,0.01,0.06,0.01 pips,
14,46877084,2022-11-15 17:12:34,SELL,0.001,EURUSD,1.03998,1.03936,0.01,0.06,0.01 pips,
15,46862187,2022-11-15 16:49:02,SELL,0.0058,EURUSD,1.04292,1.03841,0.26,2.62,0.26 pips,
16,46852616,2022-11-15 15:19:11,SELL,0.0058,EURUSD,1.04271,1.03996,0.16,1.60,0.16 pips,
17,46852296,2022-11-15 14:15:51,SELL,0.01,EURUSD,1.04289,1.04013,0.28,2.76,0.28 pips,
18,46838414,2022-11-15 16:49:02,SELL,0.0037,EURUSD,1.04063,1.03841,0.08,0.82,0.08 pips,
19,46825856,2022-11-15 16:49:02,SELL,0.0024,EURUSD,1.03401,1.03841,-0.11,-1.06,-0.11 pips,1 2 3 4 5 ... 107
0,46823377,2022-11-15 16:49:02,SELL,0.0016,EURUSD,1.03306,1.03841,-0.09,-0.86,-0.09 pips,
1,46814824,2022-11-15 16:49:02,SELL,0.001,EURUSD,1.03190,1.03841,-0.07,-0.65,-0.07 pips,
2,46811087,2022-11-14 22:53:41,SELL,0.001,EURUSD,1.03437,1.03377,0.01,0.06,0.01 pips,
3,46735207,2022-11-11 23:32:50,WITHDRAWAL,0.00,-0.04,,,,,,
4,46724667,2022-11-11 18:33:00,SELL,0.0025,EURUSD,1.03248,1.03159,0.02,0.22,0.02 pips,
5,46723041,2022-11-11 18:33:00,SELL,0.0016,EURUSD,1.03252,1.03159,0.01,0.15,0.01 pips,
6,46722224,2022-11-11 18:33:00,SELL,0.0025,EURUSD,1.03209,1.03159,0.01,0.13,0.01 pips,
7,46721144,2022-11-11 18:33:00,SELL,0.0025,EURUSD,1.03126,1.03159,-0.01,-0.08,-0.01 pips,
8,46718360,2022-11-11 18:33:00,SELL,0.001,EURUSD,1.02787,1.03159,-0.04,-0.37,-0.04 pips,
9,46716312,2022-11-11 16:39:44,WITHDRAWAL,0.00,-12.56,,,,,,
10,46713446,2022-11-11 16:35:52,SELL,0.005,EURUSD,1.03126,1.02827,0.15,1.50,0.15 pips,
11,46710402,2022-11-11 16:35:56,SELL,0.005,EURUSD,1.03067,1.02814,0.13,1.27,0.13 pips,
12,46707387,2022-11-11 16:36:01,SELL,0.0027,EURUSD,1.03112,1.02809,0.08,0.82,0.08 pips,
13,46707050,2022-11-11 16:36:05,SELL,0.0025,EURUSD,1.03094,1.02797,0.07,0.74,0.07 pips,
14,46706951,2022-11-11 16:36:10,SELL,0.0025,EURUSD,1.03086,1.02776,0.08,0.78,0.08 pips,
15,46705962,2022-11-11 16:36:29,SELL,0.0139,EURUSD,1.03097,1.02735,0.50,5.03,0.50 pips,
16,46702286,2022-11-11 16:36:32,SELL,0.0089,EURUSD,1.02897,1.02703,0.17,1.73,0.17 pips,
17,46684443,2022-11-11 16:36:32,SELL,0.0058,EURUSD,1.02699,1.02703,0.00,-0.02,0.00 pips,
18,46677697,2022-11-11 16:36:32,SELL,0.0037,EURUSD,1.02436,1.02703,-0.10,-0.99,-0.10 pips,
19,46666285,2022-11-11 16:36:32,SELL,0.0024,EURUSD,1.02182,1.02703,-0.13,-1.25,-0.13 pips,1 2 3 4 5 ... 107
0,46655965,2022-11-11 16:36:32,SELL,0.0016,EURUSD,1.01935,1.02703,-0.12,-1.23,-0.12 pips,
1,46653265,2022-11-11 16:36:32,SELL,0.001,EURUSD,1.01656,1.02703,-0.10,-1.05,-0.10 pips,
2,46639387,2022-11-11 03:32:07,SELL,0.0037,EURUSD,1.01963,1.01728,0.09,0.87,0.09 pips,
3,46636877,2022-11-11 03:32:00,SELL,0.02,EURUSD,1.02004,1.01710,0.59,5.88,0.59 pips,
4,46636436,2022-11-11 03:32:12,SELL,0.0025,EURUSD,1.01846,1.01734,0.03,0.28,0.03 pips,
5,46635169,2022-11-11 03:32:16,SELL,0.0024,EURUSD,1.01806,1.01732,0.02,0.18,0.02 pips,
6,46632898,2022-11-11 03:35:11,SELL,0.0025,EURUSD,1.01645,1.01730,-0.02,-0.21,-0.02 pips,
7,46632291,2022-11-11 03:35:15,SELL,0.0016,EURUSD,1.01572,1.01737,-0.03,-0.26,-0.03 pips,
8,46631092,2022-11-11 03:32:40,SELL,0.0025,EURUSD,1.01770,1.01724,0.01,0.12,0.01 pips,
9,46630474,2022-11-11 03:35:18,SELL,0.0025,EURUSD,1.01577,1.01739,-0.04,-0.41,-0.04 pips,
10,46629397,2022-11-11 03:35:23,SELL,0.001,EURUSD,1.01428,1.01741,-0.03,-0.31,-0.03 pips,
11,46621822,2022-11-10 19:40:55,SELL,0.0037,EURUSD,1.01806,1.01321,0.18,1.79,0.18 pips,
12,46621109,2022-11-11 03:32:43,SELL,0.005,EURUSD,1.01825,1.01745,0.04,0.40,0.04 pips,
13,46613233,2022-11-10 19:40:55,SELL,0.0024,EURUSD,1.01640,1.01321,0.08,0.77,0.08 pips,
14,46605249,2022-11-10 19:50:05,SELL,0.0025,EURUSD,1.01633,1.01367,0.07,0.67,0.07 pips,
15,46604926,2022-11-10 19:49:52,SELL,0.0025,EURUSD,1.01447,1.01345,0.03,0.26,0.03 pips,
16,46599059,2022-11-10 19:40:55,SELL,0.0016,EURUSD,1.01223,1.01321,-0.02,-0.16,-0.02 pips,
17,46591729,2022-11-11 03:35:29,SELL,0.005,EURUSD,1.01168,1.01737,-0.28,-2.85,-0.28 pips,
18,46576990,2022-11-10 19:40:55,SELL,0.001,EURUSD,0.99441,1.01321,-0.19,-1.88,-0.19 pips,
19,46573635,2022-11-10 13:01:04,SELL,0.001,EURUSD,0.99542,0.99482,0.01,0.06,0.01 pips,1 2 3 4 5 6 ... 107
0,46568015,2022-11-10 12:21:19,SELL,0.001,EURUSD,0.99602,0.99542,0.01,0.06,0.01 pips,
1,46563658,2022-11-10 11:14:00,WITHDRAWAL,0.00,-0.72,,,,,,
2,46562058,2022-11-10 11:00:31,SELL,0.001,EURUSD,0.99893,0.99833,0.01,0.06,0.01 pips,
3,46556640,2022-11-10 10:31:38,SELL,0.001,EURUSD,0.99976,0.99914,0.01,0.06,0.01 pips,
4,46548567,2022-11-10 09:24:00,SELL,0.0037,EURUSD,1.00339,1.00168,0.06,0.63,0.06 pips,
5,46541009,2022-11-10 09:24:00,SELL,0.0024,EURUSD,1.00230,1.00168,0.01,0.15,0.01 pips,
6,46535452,2022-11-10 09:24:00,SELL,0.0016,EURUSD,1.00113,1.00168,-0.01,-0.09,-0.01 pips,
7,46532488,2022-11-10 09:24:00,SELL,0.001,EURUSD,1.00009,1.00168,-0.02,-0.16,-0.02 pips,
8,46528825,2022-11-09 21:31:05,SELL,0.001,EURUSD,1.00116,1.00053,0.01,0.06,0.01 pips,
9,46527429,2022-11-09 20:36:14,WITHDRAWAL,0.00,-5.89,,,,,,
10,46517042,2022-11-09 20:30:46,SELL,0.0016,EURUSD,1.00270,1.00172,0.02,0.16,0.02 pips,
11,46506860,2022-11-09 20:30:46,SELL,0.001,EURUSD,1.00175,1.00172,0.00,0.00,0.00 pips,
12,46500894,2022-11-09 16:29:16,SELL,0.001,EURUSD,1.00285,1.00225,0.01,0.06,0.01 pips,
13,46488427,2022-11-09 15:14:10,SELL,0.001,EURUSD,1.00448,1.00388,0.01,0.06,0.01 pips,
14,46481243,2022-11-09 12:06:44,SELL,0.001,EURUSD,1.00458,1.00397,0.01,0.06,0.01 pips,
15,46473805,2022-11-09 11:06:30,SELL,0.0016,EURUSD,1.00695,1.00590,0.02,0.17,0.02 pips,
16,46466590,2022-11-09 11:06:30,SELL,0.001,EURUSD,1.00579,1.00590,0.00,-0.01,0.00 pips,
17,46463721,2022-11-09 08:13:55,SELL,0.001,EURUSD,1.00688,1.00626,0.01,0.06,0.01 pips,
18,46459607,2022-11-09 06:04:11,SELL,0.0016,EURUSD,1.00806,1.00679,0.02,0.20,0.02 pips,
19,46454925,2022-11-09 06:04:11,SELL,0.001,EURUSD,1.00631,1.00679,0.00,-0.05,0.00 pips,1 2 3 4 5 6 7 ... 107
0,46447922,2022-11-09 02:23:33,SELL,0.001,EURUSD,1.00719,1.00659,0.01,0.06,0.01 pips,
1,46443846,2022-11-08 21:09:50,SELL,0.001,EURUSD,1.00665,1.00605,0.01,0.06,0.01 pips,
2,46438081,2022-11-08 20:30:12,SELL,0.0089,EURUSD,1.00924,1.00662,0.23,2.33,0.23 pips,
3,46434776,2022-11-08 20:30:12,SELL,0.0058,EURUSD,1.00831,1.00662,0.10,0.98,0.10 pips,
4,46428079,2022-11-08 20:30:12,SELL,0.0037,EURUSD,1.00659,1.00662,0.00,-0.01,0.00 pips,
5,46422835,2022-11-08 20:30:12,SELL,0.0024,EURUSD,1.00549,1.00662,-0.03,-0.27,-0.03 pips,
6,46410385,2022-11-08 20:30:12,SELL,0.0016,EURUSD,1.00102,1.00662,-0.09,-0.90,-0.09 pips,
7,46401528,2022-11-08 20:30:12,SELL,0.001,EURUSD,0.99932,1.00662,-0.07,-0.73,-0.07 pips,
8,46395501,2022-11-08 14:55:38,SELL,0.001,EURUSD,0.99939,0.99878,0.01,0.06,0.01 pips,
9,46392773,2022-11-08 12:23:55,SELL,0.001,EURUSD,1.00024,0.99962,0.01,0.06,0.01 pips,
10,46386815,2022-11-08 11:03:17,SELL,0.001,EURUSD,0.99816,0.99756,0.01,0.06,0.01 pips,
11,46382663,2022-11-08 10:01:19,SELL,0.001,EURUSD,0.99997,0.99933,0.01,0.06,0.01 pips,
12,46377131,2022-11-08 09:13:35,SELL,0.001,EURUSD,0.99948,0.99888,0.01,0.06,0.01 pips,
13,46362874,2022-11-08 07:13:53,SELL,0.02,EURUSD,1.00283,1.00038,0.49,4.90,0.49 pips,
14,46362505,2022-11-08 07:14:14,SELL,0.0055,EURUSD,1.00288,1.00036,0.14,1.39,0.14 pips,
15,46361422,2022-11-08 07:14:02,SELL,0.0058,EURUSD,1.00302,1.00036,0.15,1.54,0.15 pips,
16,46358311,2022-11-08 07:14:19,SELL,0.0037,EURUSD,1.00209,1.00033,0.07,0.65,0.07 pips,
17,46350944,2022-11-08 07:14:24,SELL,0.0024,EURUSD,1.00001,1.00033,-0.01,-0.08,-0.01 pips,
